onetsoc_code,title,job_zone,routine_cognitive_tasks,manual_tasks,social_tasks,nonroutine_cognitive_tasks,risk_score,risk_label
17-3031.00,Surveying and Mapping Technicians,3.0,0.16666666666666666,0.06666666666666667,0.03333333333333333,0.16666666666666666,2,Moderate Risk
19-1011.00,Animal Scientists,5.0,0.2222222222222222,0.0,0.1111111111111111,0.4444444444444444,0,Low Risk
19-1012.00,Food Scientists and Technologists,4.0,0.46153846153846156,0.0,0.07692307692307693,0.38461538461538464,2,Moderate Risk
19-1013.00,Soil and Plant Scientists,5.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.6666666666666666,1,Low Risk
19-1021.00,Biochemists and Biophysicists,5.0,0.25,0.0,0.041666666666666664,0.6666666666666666,1,Low Risk
19-1022.00,Microbiologists,4.0,0.07142857142857142,0.0,0.07142857142857142,0.5,1,Low Risk
19-1023.00,Zoologists and Wildlife Biologists,4.0,0.07142857142857142,0.0,0.07142857142857142,0.5714285714285714,1,Low Risk
19-1029.00,"Biological Scientists, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
19-1029.01,Bioinformatics Scientists,5.0,0.05,0.0,0.05,0.45,1,Low Risk
19-1029.02,Molecular and Cellular Biologists,5.0,0.13636363636363635,0.045454545454545456,0.0,0.6363636363636364,1,Low Risk
19-1029.03,Geneticists,5.0,0.08333333333333333,0.0,0.0,0.7083333333333334,1,Low Risk
19-1029.04,Biologists,5.0,0.045454545454545456,0.0,0.13636363636363635,0.7272727272727273,0,Low Risk
19-1031.00,Conservation Scientists,4.0,0.06666666666666667,0.0,0.06666666666666667,0.6,1,Low Risk
19-1031.02,Range Managers,4.0,0.125,0.0,0.125,0.5625,0,Low Risk
19-1031.03,Park Naturalists,4.0,0.1,0.0,0.1,0.4,1,Low Risk
19-1032.00,Foresters,4.0,0.16,0.0,0.08,0.36,1,Low Risk
19-1041.00,Epidemiologists,5.0,0.0625,0.0,0.25,0.625,0,Low Risk
19-1042.00,"Medical Scientists, Except Epidemiologists",5.0,0.07142857142857142,0.0,0.07142857142857142,0.5,1,Low Risk
19-1099.00,"Life Scientists, All Other",,0.0,0.0,0.0,0.0,2,Moderate Risk
19-2011.00,Astronomers,5.0,0.058823529411764705,0.0,0.11764705882352941,0.5882352941176471,0,Low Risk
19-2012.00,Physicists,5.0,0.0,0.0,0.2,0.5,0,Low Risk
19-2021.00,Atmospheric and Space Scientists,4.0,0.1111111111111111,0.0,0.07407407407407407,0.4444444444444444,1,Low Risk
19-2031.00,Chemists,4.0,0.25,0.0,0.0,0.4166666666666667,1,Low Risk
19-2032.00,Materials Scientists,4.0,0.1875,0.0,0.0625,0.375,1,Low Risk
19-2041.00,"Environmental Scientists and Specialists, Including Health",4.0,0.3181818181818182,0.0,0.09090909090909091,0.5909090909090909,1,Low Risk
19-2041.01,Climate Change Policy Analysts,5.0,0.07142857142857142,0.0,0.14285714285714285,0.35714285714285715,0,Low Risk
